 3,220000 ; 2,328185 ; 2,328185
 3,331000 ; 6,274240 ; 6,274240
 3,442000 ; 7,389905 ; 7,389905
 3,553000 ; -8,950346 ; 0,487454
 3,664000 ; -4,502994 ; 0,144170
 3,775000 ; 1,236084 ; -0,368092
 3,886000 ; -0,362899 ; -0,903729
 3,997000 ; -0,074802 ; 0,729744
 4,108000 ; 2,688406 ; 1,955402
 4,219000 ; 3,640448 ; 3,994797
 4,330000 ; 2,483967 ; 4,154869
 4,441000 ; 4,076614 ; 3,828468
 4,552000 ; 15,511843 ; 3,728935
 4,663000 ; 0,757605 ; 3,200984
 4,774000 ; -2,359608 ; 5,275566
 4,885000 ; 1,991677 ; 5,415741
 4,996000 ; -0,055211 ; 3,469184
 5,107000 ; 17,006038 ; 17,006038
 5,218000 ; 5,057844 ; 5,057844
 5,329000 ; 1,885944 ; 1,885944
